rating_avg,pages,author_followers
4.38,314 pages,236
3.81,302 pages,4656
3.45,312 pages,322
4.09,64 pages,774
4.1,386 pages,28.9k
4.11,300 pages,30k
4.25,432 pages,77.7k
4.02,236 pages,2155
4.09,144 pages,2680
4.14,356 pages,4029
4.25,454 pages,125k
3.56,387 pages,221
3.88,308 pages,5
3.9,214 pages,2193
3.84,Paperback,721
4.22,359 pages,29.7k
3.71,32 pages,392
4.48,384 pages,2217
4.32,355 pages,26.6k
3.85,320 pages,1065
4.16,675 pages,18.4k
4.39,131 pages,58
3.78,400 pages,433
4.05,547 pages,3198
4.15,85 pages,35
4.05,414 pages,755
3.45,384 pages,15.1k
3.89,317 pages,54
3.69,356 pages,572
3.86,388 pages,1
3.76,371 pages,443
3.62,239 pages,3030
4.21,450 pages,113
3.93,400 pages,book2
4.23,310 pages,1609
3.86,322 pages,2129
3.98,67 pages,2275
3.98,196 pages,8
3.6,526 pages,460k
3.66,126 pages,16.7k
4.31,397 pages,1201
3.62,344 pages,196
3.76,40 pages,185
4.44,245 pages,155
4.17,422 pages,118k
3.99,282 pages,8818
4.51,652 pages,132k
4.12,398 pages,341
3.6,245 pages,book108
4.04,400 pages,2200
4.31,314 pages,24.6k
4.0,483 pages,6227
2.29,298 pages,3
3.4,Mass Market Paperback,264
3.97,656 pages,984
3.46,357 pages,2906
3.69,257 pages,84
4.41,493 pages,1196
3.95,205 pages,7578
4.01,948 pages,927
3.9,496 pages,2651
4.01,272 pages,872
4.07,320 pages,212
3.77,176 pages,1896
3.76,480 pages,25k
4.02,336 pages,8446
4.2,608 pages,17.8k
4.08,540 pages,9
3.53,336 pages,5739
4.07,128 pages,2275
4.06,389 pages,10.5k
3.94,189 pages,52.5k
4.28,528 pages,5
3.9,380 pages,28
4.04,403 pages,17.4k
4.05,367 pages,17.6k
3.75,464 pages,10
3.85,336 pages,2058
3.62,419 pages,12.7k
3.38,108 pages,450
4.43,192 pages,676
3.93,364 pages,11.5k
4.01,448 pages,54
4.17,435 pages,52.1k
3.97,384 pages,4602
3.85,325 pages,735
3.9,335 pages,6256
2.83,182 pages,100
4.07,66 pages,841k
3.98,283 pages,9706
4.38,332 pages,451
4.12,418 pages,8692
4.15,300 pages,389
3.87,198 pages,80.4k
4.06,40 pages,81
4.03,315 pages,70.5k
4.12,335 pages,1521
4.03,303 pages,313
4.3,234 pages,15.2k
3.53,238 pages,1013
3.68,220 pages,74
4.09,243 pages,71
3.45,738 pages,2733
3.79,Paperback,318
3.71,336 pages,4149
3.64,310 pages,217
4.18,322 pages,18.2k
3.87,224 pages,960
3.91,384 pages,7225
4.3,565 pages,17.8k
4.23,475 pages,10.3k
4.47,256 pages,260
3.98,304 pages,18.2k
3.96,448 pages,8263
4.32,304 pages,book3
3.82,288 pages,3111
3.92,499 pages,531
3.63,294 pages,565
4.1,400 pages,11.2k
4.31,430 pages,4051
4.36,342 pages,1273
4.09,464 pages,345k
3.66,336 pages,725
3.79,241 pages,71
3.45,281 pages,book364
4.15,368 pages,1380
4.21,484 pages,30.2k
3.94,281 pages,3911
4.12,339 pages,2352
3.91,325 pages,book34
4.3,248 pages,7661
3.75,326 pages,4594
4.13,40 pages,324
4.34,32 pages,28
3.76,Hardcover,27
4.09,272 pages,129
3.09,352 pages,1271
4.18,538 pages,92
3.77,304 pages,1874
3.97,208 pages,5104
4.88,ebook,672
3.89,461 pages,178
3.95,310 pages,16k
3.6,40 pages,12
4.33,384 pages,389
3.88,342 pages,2719
3.97,384 pages,755
3.46,Paperback,241
3.72,168 pages,224
4.05,384 pages,9640
4.13,342 pages,774
4.32,134 pages,2906
4.1,11 pages,14
3.94,448 pages,10.4k
3.62,277 pages,124
3.66,309 pages,28
4.27,278 pages,259
